"county","harv_ac"
"Adams County",353573
"Alexander County",38737
"Bond County",142958
"Boone County",103169
"Brown County",69625
"Bureau County",391839
"Calhoun County",54453
"Carroll County",194585
"Cass County",156150
"Champaign County",550359
"Christian County",372503
"Clark County",215090
"Clay County",238046
"Clinton County",206625
"Coles County",208969
"Cook County",10095
"Crawford County",183031
"Cumberland County",131756
"DeKalb County",354110
"DeWitt County",172259
"Douglas County",229403
"DuPage County",1272
"Edgar County",290790
"Edwards County",92693
"Effingham County",243278
"Fayette County",284175
"Ford County",252357
"Franklin County",136626
"Fulton County",288593
"Gallatin County",155820
"Greene County",238336
"Grundy County",220034
"Hamilton County",150794
"Hancock County",353638
"Hardin County",13421
"Henderson County",155688
"Henry County",418759
"Iroquois County",623389
"Jackson County",157102
"Jasper County",203772
"Jefferson County",196487
"Jersey County",142194
"Jo Daviess County",183158
"Johnson County",37375
"Kane County",157521
"Kankakee County",294337
"Kendall County",128188
"Knox County",339866
"LaSalle County",529644
"Lake County",22589
"Lawrence County",199302
"Lee County",365924
"Livingston County",563440
"Logan County",325655
"Macon County",262331
"Macoupin County",332942
"Madison County",277509
"Marion County",182104
"Marshall County",176204
"Mason County",262129
"Massac County",83431
"McDonough County",266282
"McHenry County",181816
"McLean County",581119
"Menard County",130334
"Mercer County",231499
"Monroe County",142875
"Montgomery County",378297
"Morgan County",250897
"Moultrie County",190819
"Ogle County",311372
"Peoria County",203636
"Perry County",144717
"Piatt County",247426
"Pike County",303295
"Pope County",19823
"Pulaski County",75831
"Putnam County",41934
"Randolph County",199835
"Richland County",149813
"Rock Island County",122583
"Saline County",113863
"Sangamon County",481836
"Schuyler County",140374
"Scott County",121423
"Shelby County",308980
"St. Clair County",212782
"Stark County",164075
"Stephenson County",259577
"Tazewell County",269485
"Union County",84872
"Vermilion County",426259
"Wabash County",101879
"Warren County",294365
"Washington County",314070
"Wayne County",290316
"White County",239696
"Whiteside County",320543
"Will County",200894
"Williamson County",61440
"Winnebago County",151475
"Woodford County",248773
