County,Year,First_day_big_freeze,Cumulative_GDD_1001-First Big Freeze,Cumulative_GDD_1001-0501,Cumulative_FDD_1001-0501,Cumulative_precip_mm_1001-0501,Cumulative_precip_mm_1001-1130,Cumulative_precip_mm_0301-0430,Cumulative_precip_mm_1001-1101,Cumulative_precip_mm_0301-0401,Min_average_tempC,Date_min_avg_temp,
"Wyoming, NY",2013-2014,11/17/2013,252.18,443.17,617.81,578.85,188.90,178.28,54.22,107.85,-11.85,12/24/2013,
"Wyoming, NY",2014-2015,11/12/2014,235.48,360.88,1409.44,408.59,147.94,120.58,87.94,41.57,-21.55,2/16/2015,
"Wyoming, NY",2015-2016,12/18/2015,289.76,460.38,693.35,476.88,136.96,117.03,93.02,58.56,-15.97,2/14/2016,
"Wyoming, NY",2016-2017,12/8/2016,305.62,566.93,763.79,706.58,204.68,215.94,142.91,94.77,-11.28,3/4/2017,
"Wyoming, NY",2017-2018,11/10/2017,287.18,362.24,1076.40,646.06,283.00,156.80,161.32,77.23,-18.24,1/6/2018,
"Wyoming, NY",2018-2019,11/13/2018,198.07,351.59,1067.83,667.07,301.11,134.51,194.20,52.89,-19.14,1/21/2019,
"Wyoming, NY",2019-2020,11/11/2019,205.35,305.20,856.71,613.32,175.93,160.55,122.98,72.05,-11.90,2/14/2020,
"Wyoming, NY",2020-2021,12/5/2020,255.54,444.96,916.71,517.51,194.71,120.96,128.65,36.87,-12.91,2/8/2021,
"Wyoming, NY",2021-2022,11/27/2021,317.25,459.81,979.65,560.61,215.99,135.53,159.12,59.56,-17.65,1/29/2022,
"Wyoming, NY",2022-2023,11/17/2022,252.18,443.17,617.81,578.85,188.90,178.28,54.22,107.85,-11.85,12/24/2022,
"Livingston, IL",2013-2014,11/23/2013,353.97,632.47,1234.37,352.86,112.83,124.49,79.16,37.10,-19.91,1/6/2014,
"Livingston, IL",2014-2015,11/12/2014,319.98,650.93,985.45,298.20,141.09,75.00,94.68,19.17,-18.51,1/7/2015,
"Livingston, IL",2015-2016,11/21/2015,427.64,931.83,434.43,448.67,121.89,141.07,42.39,82.37,-14.13,1/18/2016,
"Livingston, IL",2016-2017,12/7/2016,523.27,1039.52,492.82,396.64,75.01,219.29,37.54,89.77,-16.76,12/19/2016,
"Livingston, IL",2017-2018,12/7/2017,426.11,648.91,754.33,397.07,159.63,103.87,105.24,58.78,-21.27,1/1/2018,
"Livingston, IL",2018-2019,11/13/2018,301.02,605.00,711.53,582.47,162.77,213.95,114.93,83.87,-23.80,1/30/2019,
"Livingston, IL",2019-2020,11/11/2019,265.52,584.68,507.72,518.08,163.46,183.68,127.70,63.04,-13.23,2/14/2020,
"Livingston, IL",2020-2021,11/30/2020,361.96,736.43,737.36,330.79,86.68,126.09,44.92,61.75,-19.05,2/7/2021,
"Livingston, IL",2021-2022,12/6/2021,438.16,751.65,699.91,585.00,275.23,166.79,257.79,104.26,-14.62,1/26/2022,
"Livingston, IL",2022-2023,11/16/2022,359.93,715.38,387.79,400.16,102.76,131.14,70.08,100.43,-16.41,12/23/2022,
"Macoupin, IL",2013-2014,11/23/2013,404.52,804.07,842.39,468.25,113.32,207.77,67.28,41.49,-18.98,1/6/2014,
"Macoupin, IL",2014-2015,11/12/2014,367.33,833.63,661.10,622.48,297.08,181.47,239.37,54.72,-13.93,2/23/2015,
"Macoupin, IL",2015-2016,1/3/2016,621.21,1158.75,300.41,658.21,177.43,170.47,32.82,77.26,-12.25,1/18/2016,
"Macoupin, IL",2016-2017,12/7/2016,595.83,1295.16,335.27,500.98,99.27,321.38,55.47,91.52,-12.95,12/18/2016,
"Macoupin, IL",2017-2018,12/7/2017,509.87,860.38,537.33,445.82,113.69,190.46,87.19,138.02,-18.97,1/1/2018,
"Macoupin, IL",2018-2019,11/13/2018,349.08,821.12,495.69,747.96,164.93,286.12,97.93,153.59,-18.52,1/30/2019,
"Macoupin, IL",2019-2020,11/11/2019,310.45,802.84,356.42,703.71,195.61,234.46,127.49,105.28,-9.57,2/14/2020,
"Macoupin, IL",2020-2021,12/14/2020,444.66,885.11,477.99,526.94,149.96,228.07,56.73,121.68,-15.93,2/14/2021,
"Macoupin, IL",2021-2022,1/2/2022,589.83,963.76,479.65,521.01,100.76,245.13,91.03,133.96,-12.14,1/20/2022,
"Macoupin, IL",2022-2023,11/16/2022,400.77014,933.3101995,278.6249,488.4319,136.8355,185.3094,81.9485,120.983,-15.055,12/23/2022,
